Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2018-04-22,Lunch,571.0,16.0,2.0,6.3,7.3,0.0,0.0,141.0,682.9,44.1,3.0,39.9,63.3,24.7,61.4,57.9,0.8
2018-04-22,Dinner,704.0,31.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,48.5,1.4,11.6,55.8,0.0,0.0,0.0,0.0
2018-04-22,Snack,418.4,18.0,10.5,0.0,0.0,0.0,0.0,150.0,0.0,30.5,23.1,2.3,23.2,0.0,0.0,0.0,0.0
2018-04-23,Lunch,539.5,24.9,7.4,6.0,1.8,0.0,384.0,1084.0,176.0,27.7,24.9,15.3,43.6,32.5,0.0,10.3,28.0
2018-04-23,Dinner,904.5,25.0,7.7,5.9,4.9,0.0,28.3,1530.1,417.0,74.7,7.4,11.1,100.1,3.1,3.1,40.6,0.0
2018-04-23,Snack,122.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,3.1,12.2,1.7,6.0,116.0,5.0,1.0
2018-04-23,Pre/postworkout,401.0,6.4,2.9,0.1,0.6,0.0,10.0,201.0,678.0,35.2,3.6,24.2,52.5,1.3,14.5,30.5,1.4
2018-04-24,Lunch,539.5,24.9,7.4,6.0,1.8,0.0,384.0,1084.0,176.0,27.7,24.9,15.3,43.6,32.5,0.0,10.3,28.0
2018-04-24,Dinner,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-24,Snack,301.0,5.6,2.4,0.0,0.0,0.0,0.0,150.0,0.0,33.1,26.2,14.5,21.4,6.0,116.0,5.0,1.0
2018-04-25,Lunch,935.1,40.9,14.6,8.1,13.4,0.0,2.3,848.5,12.0,82.0,11.2,13.8,54.0,0.0,0.0,0.1,0.2
2018-04-25,Dinner,616.3,18.3,7.0,0.8,6.4,0.0,0.0,487.5,900.0,35.3,10.5,16.9,72.0,3.1,23.1,40.6,0.0
2018-04-25,Snack,245.0,5.0,1.9,0.0,0.0,0.0,0.0,350.0,0.0,18.9,25.8,15.3,21.0,6.0,116.0,5.0,1.0
2018-04-25,Pre/postworkout,216.4,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.1,0.0,0.2,52.9,0.0,0.0,0.0,0.0
2018-04-26,Lunch,539.5,24.9,7.4,6.0,1.8,0.0,384.0,1084.0,176.0,27.7,24.9,15.3,43.6,32.5,0.0,10.3,28.0
2018-04-26,Dinner,706.6,17.6,8.1,0.5,6.3,0.0,0.0,381.0,625.0,66.8,3.5,11.5,69.1,3.1,3.1,40.6,0.0
2018-04-26,Snack,446.1,7.9,2.7,0.0,0.0,0.0,0.0,150.2,0.0,44.0,26.4,14.6,25.6,6.0,116.0,5.0,1.0
2018-04-27,Lunch,695.4,32.2,14.8,9.8,6.4,0.0,384.0,976.2,176.0,49.1,8.1,13.6,52.1,38.5,116.0,50.1,29.0
2018-04-27,Dinner,772.0,3.7,1.5,0.4,1.5,0.0,0.0,224.8,586.4,89.6,6.0,10.4,43.7,219.4,23.7,4.9,5.8
2018-04-27,Snack,722.7,18.7,9.2,4.6,1.0,0.0,0.0,133.2,829.8,110.0,12.8,68.2,33.5,4.6,52.1,36.1,13.7
2018-04-28,Breakfast,515.7,11.4,5.3,4.5,0.9,0.0,0.0,82.2,593.8,74.8,9.3,41.6,31.1,3.5,32.8,35.8,12.0
2018-04-28,Lunch,678.5,27.9,11.3,7.7,2.7,0.0,384.0,704.4,577.0,51.3,5.4,22.4,58.0,33.9,16.2,104.2,29.6
2018-04-28,Dinner,873.2,27.4,9.7,0.8,0.7,0.0,5.5,276.7,1049.0,79.8,10.6,34.2,65.1,20.9,36.2,35.9,4.2
2018-04-29,Lunch,947.8,25.1,15.5,0.0,0.0,0.0,0.0,474.4,375.0,112.7,6.4,61.9,63.4,3.1,3.1,107.7,0.0
2018-04-29,Dinner,889.0,49.7,13.5,5.3,0.5,0.0,40.5,555.3,510.0,41.2,4.5,15.8,58.2,82.5,50.0,12.5,27.5
2018-04-29,Snack,115.0,9.6,6.0,0.3,3.0,0.0,33.0,246.0,24.0,0.0,0.0,0.0,7.3,10.0,0.0,20.0,0.0
2018-04-29,Pre/postworkout,207.9,0.5,0.1,0.1,0.0,0.0,0.0,1.2,401.0,26.1,2.9,13.8,27.7,1.4,16.2,0.6,1.6
2018-04-30,Lunch,539.5,24.9,7.4,6.0,1.8,0.0,384.0,1084.0,176.0,27.7,24.9,15.3,43.6,32.5,0.0,10.3,28.0
2018-04-30,Dinner,717.4,27.8,9.7,0.6,0.8,0.0,5.5,75.4,190.0,71.5,11.9,5.6,47.4,0.0,0.0,3.5,0.0
2018-04-30,Snack,192.2,0.6,0.0,0.0,0.0,0.0,0.0,7.8,84.5,44.7,6.7,25.9,2.4,6.0,120.9,5.9,5.6
2018-04-30,Pre/postworkout,575.8,5.6,2.8,0.2,0.9,0.0,15.0,401.5,1290.2,58.1,4.0,42.7,77.1,4.8,26.5,86.2,2.2
2018-05-01,Lunch,532.0,25.0,9.1,6.2,1.8,0.0,384.0,327.1,413.0,30.8,25.4,19.0,39.5,33.5,117.0,13.3,29.0
2018-05-01,Dinner,685.2,5.4,1.8,0.8,2.0,0.0,0.0,354.8,886.4,75.4,8.4,18.6,81.1,221.9,26.2,37.4,5.8
2018-05-01,Snack,385.9,12.2,6.4,0.2,2.0,0.0,22.0,321.8,100.5,32.0,26.7,16.0,25.8,6.7,4.9,14.2,4.6
